,bank,name,address,x,y,행정구
72,NH농협은행,상계동지점,서울특별시 노원구 상계5동 상계로27길 26,37.6596861,127.070163,노원구
73,NH농협은행,상도동지점,서울특별시 동작구 상도4동 상도로 106,37.5004772,126.9322924,동작구
74,NH농협은행,서교동지점,서울특별시 마포구 서교동 와우산로 121,37.553552,126.9267194,마포구
75,NH농협은행,서여의도금융센터,서울특별시 영등포구 여의도동 국회대로76길 22,37.5296642,126.922334,영등포구
76,NH농협은행,서울과학기술대지점,서울특별시 노원구 공릉2동 공릉로 232,37.6329741,127.0798802,노원구
77,NH농협은행,서울대역센터지점,서울특별시 관악구 봉천동 남부순환로 1801,37.4818357,126.9503966,관악구
78,NH농협은행,서울대연건(출),서울특별시 종로구 연건동 대학로 95,37.5807323,126.9994808,종로구
79,NH농협은행,서울대학교지점,서울특별시 관악구 신림9동 관악로 1,37.480967,126.953148,관악구
80,NH농협은행,서울시교육청지점,서울특별시 종로구 신문로2가 송월길 48,37.56992049999999,126.9674089,종로구
81,NH농협은행,서울역지점,서울특별시 중구 남대문로5가 후암로 110,37.554249,126.9740104,중구
82,NH농협은행,서울영업부,서울특별시 강동구 성내동 올림픽로 528,37.5288057,127.1203338,강동구
83,NH농협은행,서초동지점,서울특별시 서초구 서초동 반포대로 93,37.4884816,127.0087965,서초구
84,NH농협은행,석촌역지점,서울특별시 송파구 송파동 백제고분로 379,37.5051072,127.1135469,송파구
85,NH농협은행,선릉금융센터,서울특별시 강남구 역삼동 테헤란로 309,37.5036606,127.0442949,강남구
86,NH농협은행,선정릉역지점,서울특별시 강남구 역삼동 선릉로 577,37.5099007,127.0435082,강남구
87,NH농협은행,성동금융센터,서울특별시 성동구 도선동 왕십리로 326,37.5628004,127.0339778,성동구
88,NH농협은행,성수역지점,서울특별시 성동구 성수동2가 아차산로 103,37.5450417,127.0557819,성동구
89,NH농협은행,세종로지점,서울특별시 종로구 신문로1가 새문안로 92,37.5701894,126.9739225,종로구
90,NH농협은행,송파금융센터,서울특별시 송파구 가락동 오금로 310,37.4956865,127.1184047,송파구
91,NH농협은행,수유지점,서울특별시 강북구 수유동 도봉로 261,37.6316962,127.0234508,강북구
92,NH농협은행,시흥동지점,서울특별시 금천구 시흥동 시흥대로 215,37.4529288,126.9008246,금천구
93,NH농협은행,시흥배곧지점,경기도 시흥시 정왕동 서울대학로278번길 61,37.3681782,126.7306725,시흥시
94,NH농협은행,신길동지점,서울특별시 영등포구 신길3동 가마산로 407,37.503986,126.9018626,영등포구
95,NH농협은행,신당동지점,서울특별시 중구 신당5동 다산로 240,37.564289,127.0164581,중구
96,NH농협은행,신사동금융센터,서울특별시 강남구 신사동 도산대로 125,37.5177172,127.0219431,강남구
97,NH농협은행,신설동지점,서울특별시 종로구 숭인동 종로 394,37.5744368,127.0212737,종로구
98,NH농협은행,신용산지점,서울특별시 용산구 한강로2가 한강대로 95,37.5315409,126.9685985,용산구
99,NH농협은행,신월동지점,서울특별시 양천구 신월6동 신월로 156,37.5163837,126.8421653,양천구
100,NH농협은행,신촌중앙지점,서울특별시 서대문구 창천동 신촌로 73,37.5563335,126.9348124,서대문구
101,NH농협은행,신촌지점,서울특별시 서대문구 대현동 신촌로 155,37.5568906,126.9434058,서대문구
102,NH농협은행,압구정동지점,서울특별시 강남구 청담동 도산대로 447,37.5242849,127.0450502,강남구
103,NH농협은행,압구정역지점,서울특별시 강남구 신사동 논현로 842,37.5242064,127.0287437,강남구
104,NH농협은행,양재남지점,서울특별시 서초구 양재동 매헌로 24,37.4641066,127.0364031,서초구
105,NH농협은행,양재지점,서울특별시 강남구 도곡동 강남대로 278,37.4883649,127.0326861,강남구
106,NH농협은행,양재하나로지점,서울특별시 서초구 양재동 청계산로 10,37.4627988,127.0438675,서초구
107,NH농협은행,여의도대기업금융센터,서울특별시 영등포구 여의도동 국제금융로6길 17,37.5218429,126.9280858,영등포구
108,NH농협은행,여의도문화지점,서울특별시 영등포구 여의도동 국제금융로8길 2,37.5219941,126.9301082,영등포구
109,NH농협은행,여의도역(출),서울특별시 영등포구 여의도동 여의나루로 50,37.5218307,126.9256238,영등포구
110,NH농협은행,여의도지점,서울특별시 영등포구 여의도동 국제금융로6길 17,37.5218429,126.9280858,영등포구
111,NH농협은행,역삼금융센터,서울특별시 강남구 역삼동 테헤란로 123,37.499564,127.0315094,강남구
112,NH농협은행,역삼동지점,서울특별시 서초구 서초동 강남대로 351,37.4941564,127.0288976,서초구
113,NH농협은행,연신내지점,서울특별시 은평구 불광동 통일로 860,37.6198448,126.9209827,은평구
114,NH농협은행,영등포지점,서울특별시 영등포구 당산동1가 영등포로 150,37.5216841,126.8985127,영등포구
115,NH농협은행,예금보험공사(출),서울특별시 중구 다동 청계천로 30,37.5685228,126.9807525,중구
116,NH농협은행,오목교역지점,서울특별시 양천구 목동 오목로 325,37.5251528,126.8737199,양천구
117,NH농협은행,용두동지점,서울특별시 동대문구 용두동 왕산로 68,37.5757257,127.034286,동대문구
118,NH농협은행,용산금융센터,서울특별시 용산구 한강로2가 청파로 122,37.5315409,126.9685985,용산구
119,NH농협은행,용산대통령실지점,서울특별시 용산구 용산동3가 이태원로 22,37.5318611,126.9769392,용산구
120,NH농협은행,원효로지점,서울특별시 용산구 원효로1가 원효로 271,37.5399801,126.967447,용산구
121,NH농협은행,월곡동지점,서울특별시 성북구 하월곡2동 화랑로 79,37.602443,127.041254,성북구
122,NH농협은행,위례중앙지점,서울특별시 송파구 장지동 위례광장로 136,37.4764108,127.1420412,송파구
123,NH농협은행,을지로4가지점,서울특별시 중구 을지로4가 을지로 191,37.5669046,126.9992933,중구
124,NH농협은행,의원회관(출),서울특별시 영등포구 여의도동 의사당대로 1,37.5310582,126.9153816,영등포구
125,NH농협은행,이수역지점,서울특별시 서초구 방배동 동작대로 132,37.488316,126.9825957,서초구
126,NH농협은행,일원동지점,서울특별시 강남구 일원동 양재대로 55길 6,37.4913369,127.0884053,강남구
127,NH농협은행,자양로지점,서울특별시 광진구 구의동 자양로 126,37.5389589,127.0836754,광진구
128,NH농협은행,잠실월드지점,서울특별시 송파구 신천동 올림픽로35가길 9,37.5174375,127.1035775,송파구
129,NH농협은행,잠실중앙지점,서울특별시 송파구 잠실동 올림픽로 111,37.5121478,127.0830199,송파구
130,NH농협은행,잠실지점,서울특별시 송파구 잠실동 백제고분로 160,37.5050315,127.084338,송파구
131,NH농협은행,장지동지점,서울특별시 송파구 장지동 충민로2길 26,37.4774526,127.1273393,송파구
